Image,Text_Size,MSE,PSNR_dB,SSIM
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_1KB.txt,0.3248,53.02,1
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_1KB.txt,0.3199,53.08,1
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_1KB.txt,0.4208,51.89,1
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_1KB.txt,0.0786,59.18,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_1KB.txt,0.0789,59.16,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_1KB.txt,0.1054,57.9,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_1KB.txt,0.039,62.22,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_1KB.txt,0.034,62.81,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_1KB.txt,0.0214,64.83,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_10KB.txt,0.3588,52.58,1
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_10KB.txt,0.0141,66.63,1
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_10KB.txt,0.4519,51.58,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_10KB.txt,0.0032,73.12,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_10KB.txt,0.0312,63.2,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_10KB.txt,0.1213,57.29,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_10KB.txt,0.0245,64.24,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_10KB.txt,0.0313,63.18,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_10KB.txt,0.0202,65.08,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_20KB.txt,0.403,52.08,0.9999
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_20KB.txt,0.0101,68.07,1
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_20KB.txt,0.4948,51.19,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_20KB.txt,0.0024,74.4,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_20KB.txt,0.0341,62.8,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_20KB.txt,0.1334,56.88,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_20KB.txt,0.0249,64.17,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_20KB.txt,0.0334,62.9,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_20KB.txt,0.0225,64.61,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_30KB.txt,0.2777,53.7,0.9999
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_30KB.txt,0.1548,56.23,0.9999
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_30KB.txt,0.3711,52.44,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_30KB.txt,0.0378,62.36,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_30KB.txt,0.0469,61.42,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_30KB.txt,0.0959,58.31,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_30KB.txt,0.0302,63.33,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_30KB.txt,0.0294,63.44,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_30KB.txt,0.0173,65.74,1
